
Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Vermont,US,2020-04-17 23:30:52,44,045,-72,710,779,35,15,744,50,127,581,12116,32,4,492,84000050,USA,1984,307,4,107
Virginia,US,2020-04-17 23:30:52,37,769,-78,170,7491,231,1110,7260,51,94,736,48997,1308,3,083,84000051,USA,619,648,17,460
West Virginia,US,2020-04-17 23:30:52,38,491,-80,954,775,16,223,759,54,58,579,18681,85,2,064,84000054,USA,1412,020,10,967
Wyoming,US,2020-04-17 23:30:52,42,756,-107,302,305,2,148,303,56,61,338,6427,43,,655,84000056,USA,1292,534,14,098
Alaska,US,2020-04-18 22:32:47,61,370,-152,404,314,9,147,305,2,52,530,9655,39,2,866,84000002,USA,1615,226,12,420
Arizona,US,2020-04-18 22:32:47,33,729,-111,431,4724,180,539,4544,4,64,901,51045,566,3,810,84000004,USA,701,291,11,981
Arkansas,US,2020-04-18 22:32:47,34,969,-92,373,1744,38,703,1706,5,67,361,24141,291,2,178,84000005,USA,932,435,16,685
Delaware,US,2020-04-18 22:32:47,39,318,-75,507,2538,67,423,2471,10,260,638,14017,224,2,639,84000010,USA,1439,465,8,825
District of Columbia,US,2020-04-18 22:32:47,38,897,-77,026,2666,91,608,2575,11,377,754,13268,313,3,413,84000011,USA,1879,988,11,740
Guam,US,2020-04-18 22:32:47,13,444,144,793,136,5,110,131,66,82,811,1079,6,3,676,316,GUM,657,009,4,411
Hawaii,US,2020-04-18 22:32:47,21,094,-157,498,574,9,390,565,15,40,542,22343,48,1,567,84000015,USA,1578,133,8,362
Idaho,US,2020-04-18 22:32:47,44,240,-114,478,1655,43,453,1612,16,102,763,16609,151,2,598,84000016,USA,1031,296,9,123
Iowa,US,2020-04-18 22:32:47,42,011,-93,210,2513,74,1095,2439,19,95,889,22947,193,2,944,84000019,USA,875,601,7,680
Kentucky,US,2020-04-18 22:32:47,37,668,-84,670,2707,144,979,2563,21,79,075,30596,1008,5,319,84000021,USA,893,756,37,236
Maine,US,2020-04-18 22:32:47,44,693,-69,381,847,32,382,815,23,72,146,14923,136,3,778,84000023,USA,1271,117,16,056
Maryland,US,2020-04-18 22:32:47,39,063,-76,802,12326,421,771,11905,24,207,391,65370,2757,3,415,84000024,USA,1099,887,22,367
Michigan,US,2020-04-18 22:32:47,43,326,-84,536,30791,2308,3237,28483,26,386,469,99727,3634,7,495,84000026,USA,1251,710,11,802
Minnesota,US,2020-04-18 22:32:47,45,694,-93,900,2209,121,1118,2088,27,44,658,44268,561,5,477,84000027,USA,894,945,25,396
Montana,US,2020-04-18 22:32:47,46,921,-110,454,426,10,234,416,30,49,192,10569,55,2,347,84000030,USA,1220,457,12,910
New Hampshire,US,2020-04-18 22:32:47,43,452,-71,563,1342,38,468,1304,33,101,042,12852,190,2,831,84000033,USA,967,663,14,157
New Mexico,US,2020-04-18 22:32:47,34,840,-106,248,1798,53,382,1745,35,107,823,35613,242,2,947,84000035,USA,2135,669,13,459
New York,US,2020-04-18 22:32:47,42,165,-74,948,241712,17671,23887,224041,36,1433,554,596532,54339,7,310,84000036,USA,3537,934,22,480
North Dakota,US,2020-04-18 22:32:47,47,528,-99,783,528,9,183,519,38,87,068,12963,47,1,704,84000038,USA,2137,634,8,901
Oklahoma,US,2020-04-18 22:32:47,35,565,-96,928,2465,136,1515,2329,40,67,393,35536,541,5,517,84000040,USA,971,557,21,947
Rhode Island,US,2020-04-18 22:32:47,41,680,-71,511,4491,137,217,4354,44,423,934,32826,331,3,050,84000044,USA,3098,660,7,370
South Carolina,US,2020-04-18 22:32:47,33,856,-80,945,4248,119,2633,4129,45,84,286,38833,776,2,801,84000045,USA,770,499,18,267
South Dakota,US,2020-04-18 22:32:47,44,299,-99,438,1542,7,552,1535,46,209,541,11660,68,,453,84000046,USA,1584,471,4,409
Tennessee,US,2020-04-18 22:32:47,35,747,-86,692,6589,142,3234,6447,47,100,366,90586,719,2,155,84000047,USA,1379,847,10,912
Texas,US,2020-04-18 22:32:47,31,054,-97,563,18704,476,4806,18228,48,81,376,176239,1321,2,544,84000048,USA,766,771,7,062
Utah,US,2020-04-18 22:32:47,40,150,-111,862,2917,25,565,2892,49,101,783,59944,251,,857,84000049,USA,2091,642,8,604
Vermont,US,2020-04-18 22:32:47,44,045,-72,710,803,38,15,765,50,131,511,12566,56,4,732,84000050,USA,2058,006,6,973
Virginia,US,2020-04-18 22:32:47,37,769,-78,170,8053,258,1228,7795,51,101,843,51931,1307,3,203,84000051,USA,656,753,16,229
